# Source: BMAS via IFG, answered on 2015-08-19: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form-1/
einfachteilhaben.mobi,Bundesministerium für Arbeit und Soziales
einfach-teilhaben.mobi,Bundesministerium für Arbeit und Soziales
einsatzfuerarbeit.de,Bundesministerium für Arbeit und Soziales
einsatz-fuer-arbeit.de,Bundesministerium für Arbeit und Soziales
einsatzfürarbeit.de,Bundesministerium für Arbeit und Soziales
einsatz-für-arbeit.de,Bundesministerium für Arbeit und Soziales
equal.de,Bundesministerium für Arbeit und Soziales
esf.de,Bundesministerium für Arbeit und Soziales
esf-foerderung.de,Bundesministerium für Arbeit und Soziales
esf-in-deutschland.de,Bundesministerium für Arbeit und Soziales
esf-meine-geschichte.de,Bundesministerium für Arbeit und Soziales
esf-programm.de,Bundesministerium für Arbeit und Soziales
fachkraefte-allianz.de,Bundesministerium für Arbeit und Soziales
fachkraefteoffensive.de,Bundesministerium für Arbeit und Soziales
fachkraefte-offensive.de,Bundesministerium für Arbeit und Soziales
fachkraeftewoche.de,Bundesministerium für Arbeit und Soziales
fachkräfte-allianz.de,Bundesministerium für Arbeit und Soziales
fachkräfteoffensive.de,Bundesministerium für Arbeit und Soziales
fachkräfte-offensive.de,Bundesministerium für Arbeit und Soziales
fachkräftewoche.de,Bundesministerium für Arbeit und Soziales
foerdern-und-fordern.info,Bundesministerium für Arbeit und Soziales
fondsheimkinder.de,Bundesministerium für Arbeit und Soziales
fonds-heimkinder.de,Bundesministerium für Arbeit und Soziales
fördern-und-fordern.info,Bundesministerium für Arbeit und Soziales
fuereinlebenswertesland.de,Bundesministerium für Arbeit und Soziales
fuer-ein-lebenswertes-land.de,Bundesministerium für Arbeit und Soziales
füreinlebenswertesland.de,Bundesministerium für Arbeit und Soziales
für-ein-lebenswertes-land.de,Bundesministerium für Arbeit und Soziales
gda-psyche.de,Bundesministerium für Arbeit und Soziales
gemeinsam-einfach-machen.de,Bundesministerium für Arbeit und Soziales
generationenarbeit.de,Bundesministerium für Arbeit und Soziales
generationen-arbeit.de,Bundesministerium für Arbeit und Soziales
generationpraktikum.de,Bundesministerium für Arbeit und Soziales
globalisierungsfonds.de,Bundesministerium für Arbeit und Soziales
gute-arbeit-alleinerziehende.de,Bundesministerium für Arbeit und Soziales
hartziv.de,Bundesministerium für Arbeit und Soziales
heimkinder-fonds.de,Bundesministerium für Arbeit und Soziales
hinzuverdienstrechner.de,Bundesministerium für Arbeit und Soziales
ida.de,Bundesministerium für Arbeit und Soziales
initiative-für-fachkraefte.de,Bundesministerium für Arbeit und Soziales
initiative-für-fachkräfte.de,Bundesministerium für Arbeit und Soziales
initiative-neue-qualitaet-der-arbeit.de,Bundesministerium für Arbeit und Soziales
inklusionslandkarte.de,Bundesministerium für Arbeit und Soziales
inqa.de,Bundesministerium für Arbeit und Soziales
inqa-bestellservice.de,Bundesministerium für Arbeit und Soziales
inqa-check.de,Bundesministerium für Arbeit und Soziales
inqa-ddn.de,Bundesministerium für Arbeit und Soziales
inqa-demografie.de,Bundesministerium für Arbeit und Soziales
inqa-demographie.de,Bundesministerium für Arbeit und Soziales
inqa-demographie-netzwerk.de,Bundesministerium für Arbeit und Soziales
inqa-epoxibewertung.de,Bundesministerium für Arbeit und Soziales
inqa-kmu.de,Bundesministerium für Arbeit und Soziales
inqa-mittelstand.de,Bundesministerium für Arbeit und Soziales
inqa-pflege.de,Bundesministerium für Arbeit und Soziales
inqa-produktion.de,Bundesministerium für Arbeit und Soziales
inqa-stress.de,Bundesministerium für Arbeit und Soziales
job3punkt0.de,Bundesministerium für Arbeit und Soziales
job3punktnull.de,Bundesministerium für Arbeit und Soziales
jobcenterreform.de,Bundesministerium für Arbeit und Soziales
jobcenterservice.de,Bundesministerium für Arbeit und Soziales
jobcentersuche.de,Bundesministerium für Arbeit und Soziales
job-drei-null.de,Bundesministerium für Arbeit und Soziales
jobdreipunktnull.de,Bundesministerium für Arbeit und Soziales
jobsohnebarrieren.de,Bundesministerium für Arbeit und Soziales
jobs-ohne-barrieren.de,Bundesministerium für Arbeit und Soziales
jugendinarbeit.de,Bundesministerium für Arbeit und Soziales
lebenslagen-in-deutschland.de,Bundesministerium für Arbeit und Soziales
leitfadeninklusion.de,Bundesministerium für Arbeit und Soziales
leitfaden-inklusion.de,Bundesministerium für Arbeit und Soziales
lohntarifpaket.de,Bundesministerium für Arbeit und Soziales
m.budget.bmas.de,Bundesministerium für Arbeit und Soziales
m.einfachteilhaben.de,Bundesministerium für Arbeit und Soziales
m.einfach-teilhaben.de,Bundesministerium für Arbeit und Soziales
meincomeback.de,Bundesministerium für Arbeit und Soziales
mein-comeback.de,Bundesministerium für Arbeit und Soziales
mein-comeback.info,Bundesministerium für Arbeit und Soziales
meinmicrocredit.com,Bundesministerium für Arbeit und Soziales
mein-microcredit.com,Bundesministerium für Arbeit und Soziales
meinmicrocredit.de,Bundesministerium für Arbeit und Soziales
mein-microcredit.de,Bundesministerium für Arbeit und Soziales
meinmicrocredit.eu,Bundesministerium für Arbeit und Soziales
mein-microcredit.eu,Bundesministerium für Arbeit und Soziales
mein-microkredit.com,Bundesministerium für Arbeit und Soziales
meinmicrokredit.de,Bundesministerium für Arbeit und Soziales
mein-microkredit.de,Bundesministerium für Arbeit und Soziales
mein-microkredit.eu,Bundesministerium für Arbeit und Soziales
meinmicrokredit.org,Bundesministerium für Arbeit und Soziales
meinmikrocredit.com,Bundesministerium für Arbeit und Soziales
mein-mikrocredit.com,Bundesministerium für Arbeit und Soziales
