Domain Name,Domain Type,Agency,City,State
allmersbach.de,City,Non-Federal Agency,Allmersbach im Tal,BW
allstedt.info,City,Non-Federal Agency,Allstedt,ST
almdorf.de,City,Non-Federal Agency,Almdorf,SH
almersbach.de,City,Non-Federal Agency,Almersbach,RP
alpen.de,City,Non-Federal Agency,Alpen,NW
alpenrod.de,City,Non-Federal Agency,Alpenrod,RP
alpirsbach.de,City,Non-Federal Agency,Alpirsbach,BW
alsbach-haehnlein.de,City,Non-Federal Agency,Alsbach-Hähnlein,HE
alsdorf.de,City,Non-Federal Agency,Alsdorf,NW
alsenz.de,City,Non-Federal Agency,Alsenz,RP
alsenz-obermoschel.de,City,Non-Federal Agency,Waldgrehweiler,RP
alsfeld.de,City,Non-Federal Agency,Alsfeld,HE
alsheim.de,City,Non-Federal Agency,Alsheim,RP
alsleben-saale-online.de,City,Non-Federal Agency,Alsleben (Saale),ST
altbach.de,City,Non-Federal Agency,Altbach,BW
alt-bennebek.de,City,Non-Federal Agency,Alt Bennebek,SH
altdorf-bb.de,City,Non-Federal Agency,Altdorf,BW
altdorf.de,City,Non-Federal Agency,Altdorf bei Nürnberg,BY
altdorf-es.de,City,Non-Federal Agency,Altdorf,BW
altdorf-pfalz.de,City,Non-Federal Agency,Altdorf (Pfalz),RP
alt-duvenstedt.de,City,Non-Federal Agency,Alt Duvenstedt,SH
altefaehr.de,City,Non-Federal Agency,Altefähr,MV
alteglofsheim.de,City,Non-Federal Agency,Alteglofsheim,BY
altena.de,City,Non-Federal Agency,Altena,NW
altenahr-ahr.de,City,Non-Federal Agency,Altenahr,RP
altenahr.de,City,Non-Federal Agency,Kalenborn,RP
altenbeken.de,City,Non-Federal Agency,Altenbeken,NW
altenberg.de,City,Non-Federal Agency,Altenberg,SN
altenberge.de,City,Non-Federal Agency,Altenberge,NW
altenbeuthen.de,City,Non-Federal Agency,Altenbeuthen,TH
altenbuch.de,City,Non-Federal Agency,Altenbuch,BY
altenburg.eu,City,Non-Federal Agency,Altenburg,TH
altendiez.de,City,Non-Federal Agency,Altendiez,RP
altendorf-gemeinde.de,City,Non-Federal Agency,Altendorf,BY
altenfeld-thueringen.de,City,Non-Federal Agency,Altenfeld,TH
altenglan.de,City,Non-Federal Agency,Altenglan,RP
altengottern-thueringen.de,City,Non-Federal Agency,Altengottern,TH
altenholz.de,City,Non-Federal Agency,Altenholz,SH
altenkirchen-pfalz.de,City,Non-Federal Agency,Altenkirchen (Pfalz),RP
altenkunstadt.de,City,Non-Federal Agency,Altenkunstadt,BY
altenmarkt.de,City,Non-Federal Agency,Altenmarkt an der Alz,BY
altenmedingen.de,City,Non-Federal Agency,Altenmedingen,NI
altenmuenster.de,City,Non-Federal Agency,Altenmünster,BY
altenpleen.de,City,Non-Federal Agency,Preetz,MV
altenriet.de,City,Non-Federal Agency,Altenriet,BW
altenstadt.de,City,Non-Federal Agency,Altenstadt,HE
altenstadt-obb.de,City,Non-Federal Agency,Altenstadt,BY
altenstadt-vg.de,City,Non-Federal Agency,Altenstadt,BY
altenstadt-waldnaab.de,City,Non-Federal Agency,Altenstadt an der Waldnaab,BY
altensteig.de,City,Non-Federal Agency,Altensteig,BW
altenthann.de,City,Non-Federal Agency,Altenthann,BY
altentreptow.de,City,Non-Federal Agency,Röckwitz,MV
alterkuelz.de,City,Non-Federal Agency,Alterkülz,RP
altersbach.net,City,Non-Federal Agency,Altersbach,TH
altertheim.de,City,Non-Federal Agency,Altertheim,BY
althegnenberg.de,City,Non-Federal Agency,Althegnenberg,BY
altheim-alb.de,City,Non-Federal Agency,Altheim (Alb),BW
altheim-info.de,City,Non-Federal Agency,Altheim,BW
althengstett.de,City,Non-Federal Agency,Althengstett,BW
althuette.de,City,Non-Federal Agency,Althütte,BW
altlandsberg.de,City,Non-Federal Agency,Altlandsberg,BB
altlay.de,City,Non-Federal Agency,Altlay,RP
altlussheim.de,City,Non-Federal Agency,Altlußheim,BW
altmannstein.de,City,Non-Federal Agency,Altmannstein,BY
alt-moelln.de,City,Non-Federal Agency,Alt Mölln,SH
altmuehlnet.de,City,Non-Federal Agency,Adelschlag,BY
altoetting.de,City,Non-Federal Agency,Altötting,BY
altomuenster.de,City,Non-Federal Agency,Altomünster,BY
altrich.de,City,Non-Federal Agency,Altrich,RP
altrip.de,City,Non-Federal Agency,Altrip,RP
altshausen.de,City,Non-Federal Agency,Altshausen,BW
altusried.de,City,Non-Federal Agency,Altusried,BY
altweidelbach.de,City,Non-Federal Agency,Altweidelbach,RP
altwigshagen.de,City,Non-Federal Agency,Altwigshagen,MV
alveslohe.eu,City,Non-Federal Agency,Alveslohe,SH
alzenau.de,City,Non-Federal Agency,Alzenau,BY
alzey.de,City,Non-Federal Agency,Alzey,RP
alzey-land.de,City,Non-Federal Agency,Kettenheim,RP
amberg.de,City,Non-Federal Agency,Amberg,BY
am-dobrock.de,City,Non-Federal Agency,Geversdorf,NI
amelinghausen.de,City,Non-Federal Agency,Amelinghausen,NI
amerang.de,City,Non-Federal Agency,Amerang,BY
ammerbuch.de,City,Non-Federal Agency,Ammerbuch,BW
ammerndorf.de,City,Non-Federal Agency,Ammerndorf,BY
ammersbek.de,City,Non-Federal Agency,Ammersbek,SH
ammerthal.de,City,Non-Federal Agency,Ammerthal,BY
amnf.de,City,Non-Federal Agency,Struckum,SH
amoeneburg.de,City,Non-Federal Agency,Amöneburg,HE
amorbach.de,City,Non-Federal Agency,Amorbach,BY
ampfing.de,City,Non-Federal Agency,Ampfing,BY
amstetten.de,City,Non-Federal Agency,Amstetten,BW
amt-altdoebern.de,City,Non-Federal Agency,Bronkow,BB
amt-am-peenestrom.de,City,Non-Federal Agency,Zemitz,MV
amt-am-stettiner-haff.de,City,Non-Federal Agency,Mönkebude,MV
amt-anklam-land.de,City,Non-Federal Agency,Spantekow,MV
amt-bad-bramstedt-land.de,City,Non-Federal Agency,Mönkloh,SH
amt-bad-oldesloe-land.de,City,Non-Federal Agency,Neritz,SH
amt-badwilsnack-weisen.de,City,Non-Federal Agency,Breese,BB
amt-barth.de,City,Non-Federal Agency,Kenz-Küstrow,MV
amt-bco.de,City,Non-Federal Agency,Lunow-Stolzenhagen,BB
amt-bergen-auf-ruegen.de,City,Non-Federal Agency,Rappin,MV
amt-berkenthin.de,City,Non-Federal Agency,Kastorf,SH
amtboizenburgland.de,City,Non-Federal Agency,Gresse,MV
amt-bokhorst-wankendorf.de,City,Non-Federal Agency,Belau,SH
amt-boostedt-rickling.de,City,Non-Federal Agency,Daldorf,SH
amt-bornhoeved.de,City,Non-Federal Agency,Gönnebek,SH
amt-breitenburg.de,City,Non-Federal Agency,Breitenberg,SH
amt-brueck.de,City,Non-Federal Agency,Brück,BB
amt-bruessow.de,City,Non-Federal Agency,Schenkenberg,BB
amt-buechen.eu,City,Non-Federal Agency,Büchen,SH
amt-buesum-wesselburen.de,City,Non-Federal Agency,Büsum,SH
amt-buetzow-land.de,City,Non-Federal Agency,Baumgarten,MV
amt-burg-spreewald.de,City,Non-Federal Agency,Dissen-Striesow,BB
amt-burg-st-michaelisdonn.de,City,Non-Federal Agency,Dingen,SH
amtcarbaek.de,City,Non-Federal Agency,Broderstorf,MV
amt-crivitz.de,City,Non-Federal Agency,Tramm,MV
amt-daenischenhagen.de,City,Non-Federal Agency,Dänischenhagen,SH
amt-daenischer-wohld.de,City,Non-Federal Agency,Tüttendorf,SH
amt-demmin-land.de,City,Non-Federal Agency,Beggerow,MV
amt-doberan-land.de,City,Non-Federal Agency,Hohenfelde,MV
amt-doebern-land.de,City,Non-Federal Agency,Felixsee,BB
amtdoemitz-malliss.de,City,Non-Federal Agency,Grebs-Niendorf,MV
amt-dorfmecklenburg-badkleinen.de,City,Non-Federal Agency,Metelsdorf,MV
amt-eggebek.de,City,Non-Federal Agency,Janneby,SH
amt-eider.de,City,Non-Federal Agency,Sankt Annen,SH
amt-eiderkanal.de,City,Non-Federal Agency,Haßmoor,SH
amt-eiderstedt.de,City,Non-Federal Agency,Osterhever,SH
amt-eldenburg-luebz.de,City,Non-Federal Agency,Gischow,MV
amt-fahoe.de,City,Non-Federal Agency,Falkenberg,BB
amt-ferdinandshof.de,City,Non-Federal Agency,Heinrichswalde,MV
amt-foehr-amrum.de,City,Non-Federal Agency,Alkersum,SH
amt-franzburg-richtenberg.de,City,Non-Federal Agency,Velgast,MV
amt-friesack.de,City,Non-Federal Agency,Wiesenaue,BB
amt-geltingerbucht.de,City,Non-Federal Agency,Rabenholz,SH
amt-gerswalde.de,City,Non-Federal Agency,Milmersdorf,BB
amt-gnoien.de,City,Non-Federal Agency,Boddin,MV
amt-goldberg-mildenitz.de,City,Non-Federal Agency,Dobbertin,MV
amt-golssener-land.de,City,Non-Federal Agency,Golßen,BB
amt-golzow.de,City,Non-Federal Agency,Alt Tucheband,BB
amtgramzow.de,City,Non-Federal Agency,Zichow,BB
amt-grosser-ploener-see.de,City,Non-Federal Agency,Rantzau,SH
amt-guestrow-land.de,City,Non-Federal Agency,Lüssow,MV
amt-hagenow-land.de,City,Non-Federal Agency,Redefin,MV
