Domain Name,Domain Type,Agency,City,State
bundesbank.de,Federal Agency,Deutsche Bundesbank,,
bundesbauminister.com,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauminister.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauministerium.com,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauministerium.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauministerium.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauministerium.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauminister.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesbauminister.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundescriminalamt.de,Federal Agency,Bundeskriminalamt,,
bundesfinanzhof.de,Federal Agency,Bundesfinanzhof,,
bundesfinanzministerium.de,Federal Agency,Bundesministerium der Finanzen,,
bundesgerichtshof.de,Federal Agency,Bundesgerichtshof,,
bundeshaus.de,Federal Agency,Bundestag,,
bundeshaushalt-info.de,Federal Agency,Bundesministerium der Finanzen,,
bundesinfrastrukturministerium.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesjustizamt.de,Federal Agency,Bundesamt für Justiz,,
bundeskanzleramt.de,Federal Agency,Bundeskanzleramt,,
bundeskanzlerin.de,Federal Agency,Bundeskanzlerin,,
bundeskartellamt.de,Federal Agency,Bundeskartellamt,,
bundeskriminalamt.de,Federal Agency,Bundeskriminalamt,,
bundeskriminalamt.eu,Federal Agency,Bundeskriminalamt,,
bundeskriminalamt.info,Federal Agency,Bundeskriminalamt,,
bundeskriminalamt.net,Federal Agency,Bundeskriminalamt,,
bundeskriminalamt.org,Federal Agency,Bundeskriminalamt,,
bundesministerium-fuer-arbeit-und-soziales.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
bundesministerium-fuer-stadtentwicklung.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesnetzagentur.de,Federal Agency,Bundesnetzagentur,,
bundespolizei.de,Federal Agency,Bundespolizeipräsidium,,
bundespraesident.de,Federal Agency,Bundespräsident,,
bundespruefstelle.de,Federal Agency,Bundesprüfstelle für jugendgefährdende Medien,,
bundesrat.de,Federal Agency,Bundesrat,,
bundesrechnungshof.de,Federal Agency,Bundesrechnungshof,,
bundesregierung.de,Federal Agency,Bundesregierung,,
bundessortenamt.de,Federal Agency,Bundessortenamt,,
bundessozialgericht.de,Federal Agency,Bundessozialgericht,,
bundessozialministerium.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
bundessozialministerium.eu,Federal Agency,Bundesministerium für Arbeit und Soziales,,
bundessprachenamt.de,Federal Agency,Bundessprachenamt,,
bundesstelle-fuer-informationstechnik.de,Federal Agency,Bundesverwaltungsamt,,
bundestag.de,Federal Agency,Deutscher Bundestag,,
bundestag.eu,Federal Agency,Bundestag,,
bundestag-magazin.de,Federal Agency,Bundestag,,
bundestag.mobi,Federal Agency,Bundestag,,
bundestag-online.de,Federal Agency,Bundestag,,
bundestagsarena.de,Federal Agency,Bundestag,,
bundestagspraesident.de,Federal Agency,Bundestag,,
bundestagspraesidentin.de,Federal Agency,Bundestag,,
bundestag-und-schule.de,Federal Agency,Bundestag,,
bundesverfassungsgericht.de,Federal Agency,Bundesverfassungsgericht,,
bundesverkehrsminister.com,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsminister.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.com,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsministerium.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsminister.net,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesverkehrsminister.org,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bundesversammlung.de,Federal Agency,Bundestag,,
bundesversicherungsamt.de,Federal Agency,Bundesversicherungsamt,,
bundesverwaltungsamt.de,Federal Agency,Bundesverwaltungsamt,,
bundesverwaltungsgericht.de,Federal Agency,Bundesverwaltungsgericht,,
bundeswehr-karriere.de,Federal Agency,Bundesamt für das Personalmanagement der Bundeswehr,,
bund.online,Federal Agency,Bundesverwaltungsamt,,
bund.services,Federal Agency,Bundesverwaltungsamt,,
bva.bund.de,Federal Agency,Bundesverwaltungsamt,,
bva-dienstleistungszentrum.de,Federal Agency,Bundesverwaltungsamt,,
bva.services,Federal Agency,Bundesverwaltungsamt,,
bva.website,Federal Agency,Bundesverwaltungsamt,,
bvl.bund.de,Federal Agency,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit,,
bvwp2015.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
bzga.de,Federal Agency,Bundeszentrale für gesundheitliche Aufklärung,,
bzst.bund.de,Federal Agency,Bundeszentralamt für Steuern,,
caf-netzwerk.de,Federal Agency,Bundesverwaltungsamt,,
cert-bund.de,Federal Agency,Bundesamt für Sicherheit in der Informationstechnik,,
cerwis.eu,Federal Agency,Deutscher Wetterdienst,,
chancen-mit-erfahrung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
CIEC-Deutschland.de,Federal Agency,Bundesministerium des Innern,,
cio.bund.de,Federal Agency,Der Beauftragte der Bundesregierung für Informationstechnik,,
climatemonitoring.de,Federal Agency,Deutscher Wetterdienst,,
climatemonitoring.eu,Federal Agency,Deutscher Wetterdienst,,
climateservice.eu,Federal Agency,Deutscher Wetterdienst,,
climateservices.de,Federal Agency,Deutscher Wetterdienst,,
climateservices.eu,Federal Agency,Deutscher Wetterdienst,,
cmsaf.eu,Federal Agency,Deutscher Wetterdienst,,
csrindeutschland.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csringermany.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csrmadeingermany.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csr-preis-bund.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
csr-unternehmenswerte.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-bildungspaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-demographie-netzwerk.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-halbe-leben.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dashalbeleben.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-halbe-leben.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-jobcenter.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-parlament.de,Federal Agency,Bundestag,,
das-rentenpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
das-rentenreformpaket.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
datenhandbuch-bundestag.de,Federal Agency,Bundestag,,
dates-esf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dates-esf-test.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dbtg.eu,Federal Agency,Bundestag,,
dbtg-newsletter.de,Federal Agency,Bundestag,,
dbtg.tv,Federal Agency,Bundestag,,
dbt-internet.de,Federal Agency,Bundestag,,
dehst.de,Federal Agency,Deutsche Emissionshandelsstelle,,
demograf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
derbevoelkerung.de,Federal Agency,Bundestag,,
der-demograf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn-gilt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn-kommt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
der-mindestlohn-wirkt.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
destatis.de,Federal Agency,Statistisches Bundesamt,,
deutsche-polizei.eu,Federal Agency,Bundeskriminalamt,,
deutscher-bundestag.de,Federal Agency,Bundestag,,
deutscher-bundestag.eu,Federal Agency,Bundestag,,
deutscherdom.de,Federal Agency,Bundestag,,
deutscher-klimaatlas.de,Federal Agency,Deutscher Wetterdienst,,
deutscher-wetterdienst.com,Federal Agency,Deutscher Wetterdienst,,
deutscher-wetterdienst.de,Federal Agency,Deutscher Wetterdienst,,
deutscher-wetterdienst.eu,Federal Agency,Deutscher Wetterdienst,,
deutschesheer.de,Federal Agency,Kommando Heer,,
deutsches-klimaportal.de,Federal Agency,Deutscher Wetterdienst,,
deutsches-parlament.eu,Federal Agency,Bundestag,,
deutschland-wird-inklusiv.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
dienstleistungszentrum.de,Federal Agency,Bundesverwaltungsamt,,
dienstreisezentrum.de,Federal Agency,Bundesverwaltungsamt,,
die-rente.com,Federal Agency,Bundesministerium für Arbeit und Soziales,,
die-rente.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
die-rente.net,Federal Agency,Bundesministerium für Arbeit und Soziales,,
die-rente.org,Federal Agency,Bundesministerium für Arbeit und Soziales,,
digitaleautobahn.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
digitales-testfeld-autobahn.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
digitalestestfeld.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
dimdi.de,Federal Agency,Deutsches Institut für Medizinische Dokumentation und Information,,
dip21.de,Federal Agency,Bundestag,,
dip-online.de,Federal Agency,Bundestag,,
d-klip.de,Federal Agency,Deutscher Wetterdienst,,
doi-de.net,Federal Agency,Bundesverwaltungsamt,,
doi-sec-de.net,Federal Agency,Bundesverwaltungsamt,,
dpma.de,Federal Agency,Deutsches Patent- und Markenamt,,
dsd.online,Federal Agency,Bundesverwaltungsamt,,
dsd-weltweit.de,Federal Agency,Bundesverwaltungsamt,,
dta9.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
dvdv.de,Federal Agency,Bundesverwaltungsamt,,
dwd.bund.de,Federal Agency,Deutscher Wetterdienst,,
dwd.de,Federal Agency,Deutscher Wetterdienst,,
dwd.eu,Federal Agency,Deutscher Wetterdienst,,
dwd-shop.de,Federal Agency,Deutscher Wetterdienst,,
dwd-shop.eu,Federal Agency,Deutscher Wetterdienst,,
eba.bund.de,Federal Agency,Eisenbahn-Bundesamt,,
e-bundestag.de,Federal Agency,Bundestag,,
e-goverment.eu,Federal Agency,Bundestag,,
einfach-leichte-sprache.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
einfachteilhaben.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
einfachteilhaben.mobi,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--einsatzfrarbeit-6vb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
einsatzfuerarbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ein-und-ausblicke.de,Federal Agency,Bundestag,,
energie-fuer-morgen.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
eparlament.de,Federal Agency,Bundestag,,
e-parliament.de,Federal Agency,Bundestag,,
equal.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esa-cloud-cci.eu,Federal Agency,Deutscher Wetterdienst,,
esa-cloud-cci.info,Federal Agency,Deutscher Wetterdienst,,
esa-cloud-cci.net,Federal Agency,Deutscher Wetterdienst,,
esa-cloud-cci.org,Federal Agency,Deutscher Wetterdienst,,
esf.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-foerderung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-in-deutschland.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-meine-geschichte.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
esf-programm.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
european-enet.org,Federal Agency,Bundeskriminalamt,,
evergabe-online.info,Federal Agency,Beschaffungsamt des Bundesministeriums des Innern,,
fachkraefte-allianz.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fachkraefteoffensive.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fachkraeftewoche.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--fachkrfte-allianz-vqb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--fachkrfteoffensive-qtb.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--fachkrftewoche-bib.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
favorit.de,Federal Agency,Bundesverwaltungsamt,,
federal-ministry-of-finance.de,Federal Agency,Bundesministerium der Finanzen,,
finanzforscher.de,Federal Agency,Bundesministerium der Finanzen,,
fli.bund.de,Federal Agency,"Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",,
flugmet.de,Federal Agency,Deutscher Wetterdienst,,
flugmet.eu,Federal Agency,Deutscher Wetterdienst,,
flugwetter-beratung.de,Federal Agency,Deutscher Wetterdienst,,
flugwetter.de,Federal Agency,Deutscher Wetterdienst,,
flugwetter.eu,Federal Agency,Deutscher Wetterdienst,,
foerdern-und-fordern.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fondsheimkinder.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fons-civitatis.de,Federal Agency,Bundesverwaltungsamt,,
xn--frdern-und-fordern-d3b.info,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--freinlebenswertesland-8hc.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
fuereinlebenswertesland.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
gcos.de,Federal Agency,Deutscher Wetterdienst,,
gda-psyche.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
gemeinsam-einfach-machen.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
generalbundesanwalt.de,Federal Agency,Generalbundesanwalt beim Bundesgerichtshof,,
generationenarbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
generationpraktikum.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
gesundheitswetter.eu,Federal Agency,Deutscher Wetterdienst,,
gisc-germany.eu,Federal Agency,Deutscher Wetterdienst,,
gisc-offenbach.eu,Federal Agency,Deutscher Wetterdienst,,
glasklar-bundestag.de,Federal Agency,Bundestag,,
globalisierungsfonds.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
government-site-builder.de,Federal Agency,Bundesverwaltungsamt,,
gp-habitat.de,Federal Agency,Bundestag,,
gph-habitat.de,Federal Agency,Bundestag,,
gruan.org,Federal Agency,Deutscher Wetterdienst,,
gsnmc.eu,Federal Agency,Deutscher Wetterdienst,,
gute-arbeit-alleinerziehende.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
hartziv.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
heimkinder-fonds.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
hinzuverdienstrechner.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
ida.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
infrastrukturministerium.de,Federal Agency,Bundesministerium für Verkehr und digitale Infrastruktur,,
xn--initiative-fr-fachkraefte-qwc.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
xn--initiative-fr-fachkrfte-f8b50d.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
initiative-neue-qualitaet-der-arbeit.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inklusionslandkarte.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
innerersicherheitsfonds.de,Federal Agency,Bundeskriminalamt,,
inqa-bestellservice.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-check.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-ddn.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-demografie.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-demographie.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-demographie-netzwerk.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-epoxibewertung.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-kmu.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
inqa-mittelstand.de,Federal Agency,Bundesministerium für Arbeit und Soziales,,
